id,name,Weighted Average Verification Age (Days),Merchants per Capita,Merchants per km²,Score,population,area_km2,total_merchants,weighted_total_merchants,up_to_date_elements,up_to_date_percent,Average Verification Age (Days),id (Latest Report),date,average_verification_date,grade,legacy_elements,outdated_elements,total_elements,total_elements_atms,total_elements_lightning,total_elements_lightning_contactless,total_elements_onchain
404,Iran,363.5,0.0000003136,0.0000159857,0.2800051097822378,82913906,1626452.41,26,13.0,13,50,362,167341,2025-01-21,2024-01-27 00:00:00,,0,13,26,0,15,2,8
377,Greece,345.62,0.0000018663,0.0001533056,0.3070782418527908,10716322,130458.37,20,13.799999999999999,27,69,337,167192,2025-01-17,2024-02-21 00:00:00,,0,12,39,19,14,3,27
362,Gabon,0,0.0000000000,0.0000000000,0.29536728493525044,2172579,261246.03,0,0.0,0,0,None,153734,2024-01-29,,,0,0,0,0,0,0,0
465,Monaco,0,0.0000000000,0.0000000000,0.29999977939961264,38964,12.44,0,0.0,0,0,None,153735,2024-01-29,,,0,0,0,0,0,0,0
56,Burkina Faso,0,0.0000000000,0.0000000000,0.2951358506571979,20321378,274296.97,0,0.0,0,0,None,153736,2024-01-29,,,0,0,0,0,0,0,0
26,Argentina,373.57,0.0000045618,0.0000735055,0.2658904268455117,44938712,2788907.89,205,22.55,25,11,437,167121,2025-01-15,2023-11-13 00:00:00,,1,185,210,5,183,4,182
477,Mali,0,0.0000000000,0.0000000000,0.277638109004897,19658031,1261021.92,0,0.0,0,0,None,153738,2024-01-29,,,0,0,0,0,0,0,0
428,Kazakhstan,0,0.0000000000,0.0000000000,0.2517861991195381,18513930,2718851.45,0,0.0,0,0,None,153739,2024-01-29,,,0,0,0,0,0,0,0
386,Guinea-Bissau,0,0.0000000000,0.0000000000,0.2994302762693029,1920922,32127.61,0,0.0,0,0,None,153740,2024-01-29,,,0,0,0,0,0,0,0
358,Falkland Islands,0,0.0000000000,0.0000000000,0.29979763319227626,3398,11411.78,0,0.0,0,0,None,153741,2024-01-29,,,0,0,0,0,0,0,0
7,Andorra,368.0,0.0000518524,0.0090334237,0.3013532607626786,77142,442.8,4,2.0,2,50,371,165062,2024-11-14,2024-01-18 00:00:00,,0,2,4,0,3,1,1
12,Anguilla,365.0,0.0000678841,0.0119803522,0.2999985198139606,14731,83.47,1,0.0,0,0,381,166863,2025-01-07,2024-01-08 00:00:00,,0,1,1,0,1,1,1
412,Jamaica,247.0,0.0000003392,0.0000912693,0.3004862616456462,2948279,10956.59,1,1.0,1,100,247,158976,2024-05-22,2024-05-21 00:00:00,,0,0,1,0,1,1,1
415,Kenya,192.21,0.0000014456,0.0001274811,0.33494370253204964,52573973,596166.85,76,66.88,67,88,169,167101,2025-01-14,2024-08-07 00:00:00,,31,9,76,0,71,37,58
532,Pitcairn Islands,0,0.0000000000,0.0000000000,0.29999931266310187,54,38.76,0,0.0,0,0,None,153746,2024-01-29,,,0,0,0,0,0,0,0
